VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,01/01/2024 00:45,01/01/2024 00:51,4,1.04,1,N,142,163,2,7.9,1,0.5,0,0,1,12.9,2.5,0
2,01/01/2024 00:55,01/01/2024 01:12,4,2.41,1,N,163,140,1,17.7,1,0.5,4.54,0,1,27.24,2.5,0
2,01/01/2024 00:05,01/01/2024 00:17,1,1.06,1,N,246,90,2,11.4,1,0.5,0,0,1,16.4,2.5,0
2,01/01/2024 00:18,01/01/2024 00:26,1,0.83,1,N,234,170,1,8.6,1,0.5,3.4,0,1,17,2.5,0
2,01/01/2024 00:38,01/01/2024 00:53,1,1.94,1,N,114,79,1,14.9,1,0.5,3.98,0,1,23.88,2.5,0
2,01/01/2024 00:58,01/01/2024 01:11,1,2.23,1,N,79,229,1,14.2,1,0.5,2,0,1,21.2,2.5,0
2,01/01/2024 00:14,01/01/2024 00:20,1,0.78,1,N,142,239,1,7.2,1,0.5,3.05,0,1,15.25,2.5,0
2,01/01/2024 00:22,01/01/2024 00:35,1,2.02,1,N,239,262,1,14.2,1,0.5,3,0,1,22.2,2.5,0
2,01/01/2024 00:50,01/01/2024 01:00,1,0.57,1,N,163,163,2,9.3,1,0.5,0,0,1,14.3,2.5,0
2,01/01/2024 00:36,01/01/2024 01:08,1,11.48,1,N,148,244,1,47.8,1,0.5,10.56,0,1,63.36,2.5,0
2,01/01/2024 00:13,01/01/2024 00:29,1,8.89,1,N,138,107,1,35.2,6,0.5,10.43,6.94,1,64.32,2.5,1.75
2,01/01/2024 00:40,01/01/2024 01:18,2,5.27,1,N,232,246,1,38,1,0.5,8.6,0,1,51.6,2.5,0
1,01/01/2024 00:24,01/01/2024 00:41,1,6.6,1,N,142,244,2,28.2,3.5,0.5,0,0,1,33.2,2.5,0
2,01/01/2024 00:09,01/01/2024 00:24,1,3.91,1,N,140,202,2,19.1,1,0.5,0,0,1,24.1,2.5,0
2,01/01/2024 00:34,01/01/2024 00:43,2,1.24,1,N,249,79,1,10,1,0.5,3.75,0,1,18.75,2.5,0
2,01/01/2024 00:45,01/01/2024 01:23,2,5.35,1,N,79,48,1,34.5,1,0.5,6.08,0,1,45.58,2.5,0
1,01/01/2024 00:14,01/01/2024 00:40,1,3,1,N,43,68,2,21.9,3.5,0.5,0,0,1,26.9,2.5,0
1,01/01/2024 00:47,01/01/2024 01:21,1,3.8,1,N,246,145,1,27.5,3.5,0.5,7.9,6.94,1,47.34,2.5,0
2,01/01/2024 00:32,01/01/2024 00:54,2,1.69,1,N,161,90,1,19.8,1,0.5,1,0,1,25.8,2.5,0
1,01/01/2024 00:38,01/01/2024 00:42,2,0.7,1,N,143,142,1,6.5,3.5,0.5,2,0,1,13.5,2.5,0
1,01/01/2024 00:48,01/01/2024 01:03,1,0.8,1,N,48,68,2,13.5,3.5,0.5,0,0,1,18.5,2.5,0
2,01/01/2024 00:18,01/01/2024 00:33,1,2.14,1,N,249,232,1,14.9,1,0.5,5.97,0,1,25.87,2.5,0
2,01/01/2024 00:39,01/01/2024 00:48,2,1.79,1,N,148,249,1,11.4,1,0.5,4.92,0,1,21.32,2.5,0
1,01/01/2024 00:57,01/01/2024 01:06,2,1.2,1,N,148,107,1,10.7,3.5,0.5,2.36,0,1,18.06,2.5,0
2,01/01/2024 00:44,01/01/2024 00:56,2,1.01,1,N,68,107,1,11.4,1,0.5,4.1,0,1,20.5,2.5,0
2,01/01/2024 00:39,01/01/2024 01:00,1,2.21,1,N,237,137,1,18.4,1,0.5,4.68,0,1,28.08,2.5,0
2,01/01/2024 00:13,01/01/2024 00:27,1,2.12,1,N,234,148,1,14.2,1,0.5,3.84,0,1,23.04,2.5,0
2,01/01/2024 00:33,01/01/2024 00:51,1,3.6,1,N,148,141,1,19.8,1,0.5,4.96,0,1,29.76,2.5,0
2,01/01/2024 00:29,01/01/2024 00:34,2,0.67,1,N,237,236,1,7.2,1,0.5,2.44,0,1,14.64,2.5,0
2,01/01/2024 00:36,01/01/2024 01:08,1,2.88,1,N,236,137,1,27.5,1,0.5,6.5,0,1,39,2.5,0
2,01/01/2024 00:46,01/01/2024 01:20,1,20.85,2,N,132,239,1,70,0,0.5,0,6.94,1,82.69,2.5,1.75
2,01/01/2024 00:14,01/01/2024 00:17,5,0.55,1,N,239,143,1,5.1,1,0.5,1.52,0,1,11.62,2.5,0
2,01/01/2024 00:22,01/01/2024 00:51,5,3.1,1,N,143,170,1,26.8,1,0.5,6.36,0,1,38.16,2.5,0
1,01/01/2024 00:27,01/01/2024 00:35,4,1,1,N,43,161,1,9.3,3.5,0.5,5,0,1,19.3,2.5,0
1,01/01/2024 00:45,01/01/2024 01:01,2,1.8,1,N,161,236,1,16.3,3.5,0.5,4.26,0,1,25.56,2.5,0
2,01/01/2024 00:21,01/01/2024 00:45,1,1.88,1,N,234,162,2,20.5,1,0.5,0,0,1,25.5,2.5,0
2,01/01/2024 00:52,01/01/2024 01:10,1,1.84,1,N,162,113,1,16.3,1,0.5,5.33,0,1,26.63,2.5,0
2,01/01/2024 00:08,01/01/2024 00:09,1,0.05,1,N,246,68,1,3,1,0.5,0.08,0,1,8.08,2.5,0
2,01/01/2024 00:33,01/01/2024 00:39,1,0.71,1,N,48,142,1,7.2,1,0.5,3.66,0,1,15.86,2.5,0
1,01/01/2024 00:27,01/01/2024 00:29,2,0.2,1,N,170,233,1,4.4,3.5,0.5,0,0,1,9.4,2.5,0
1,01/01/2024 00:50,01/01/2024 01:42,4,2.3,1,N,43,186,2,40.1,3.5,0.5,0,0,1,45.1,2.5,0
1,01/01/2024 00:54,01/01/2024 01:28,1,9.5,1,N,233,181,1,44.3,3.5,0.5,9.85,0,1,59.15,2.5,0
2,01/01/2024 00:27,01/01/2024 01:03,1,5.91,1,N,262,244,1,35.2,1,0.5,8.04,0,1,48.24,2.5,0
2,01/01/2024 00:21,01/01/2024 00:46,1,1.51,1,N,68,50,1,21.2,1,0.5,4.74,0,1,28.44,0,0
2,01/01/2024 00:50,01/01/2024 01:13,1,1.11,1,N,50,233,2,20.5,1,0.5,0,0,1,23,0,0
2,01/01/2024 00:07,01/01/2024 00:14,1,1.52,1,N,137,141,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
2,01/01/2024 00:30,01/01/2024 00:40,1,3.04,1,N,170,148,1,14.9,1,0.5,3.98,0,1,23.88,2.5,0
1,01/01/2024 00:20,01/01/2024 00:33,2,2.1,1,N,79,170,1,12.8,3.5,0.5,0,0,1,17.8,2.5,0
2,01/01/2024 00:19,01/01/2024 00:41,1,1.55,1,N,68,50,2,19.1,1,0.5,0,0,1,24.1,2.5,0
2,01/01/2024 00:42,01/01/2024 00:50,1,2,1,N,50,238,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,01/01/2024 00:54,01/01/2024 01:27,1,13.74,1,N,239,95,1,56.9,1,0.5,13.77,6.94,1,82.61,2.5,0
2,01/01/2024 00:13,01/01/2024 00:33,1,4.2,1,N,148,237,1,21.9,1,0.5,5.38,0,1,32.28,2.5,0
2,01/01/2024 00:35,01/01/2024 00:47,1,1.14,1,N,237,233,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,01/01/2024 00:50,01/01/2024 01:38,1,20.34,1,N,132,26,1,80,1,0.5,2,0,1,86.25,0,1.75
